Block Number,Task Number,Sequence Length,Shown Sequence,Participant Sequence,Answered Correctly,Reaction Time,
1,1,6,78175,78175,True,2.865405,
1,2,6,66257,66257,True,2.540182,
2,1,7,260077,260077,True,3.430492,
2,2,7,606164,606164,True,2.37804,
3,1,8,8553113,8553851,False,4.729168,
3,2,8,4153121,4153212,False,3.230358,
4,1,9,53743736,53745676,False,5.650356,
4,2,9,81430433,81430433,True,4.491302,
